metric,mean,std,section,station,hour,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std
mae,1036.2866924180864,76.52808881210342,overall,,,,,,,,
rmse,1440.8092042574874,83.42031389568353,overall,,,,,,,,
mape,8.532472731651575,1.308130242633321,overall,,,,,,,,
r2,0.9935582502012918,0.0007365710189617744,overall,,,,,,,,
mae,1470.4604831975455,110.44579713167728,per_station,ikebukuro,,,,,,,
rmse,1959.0362177349566,136.30608469591272,per_station,ikebukuro,,,,,,,
mape,7.168871325782232,0.8796581084463961,per_station,ikebukuro,,,,,,,
r2,0.9814817296415456,0.0025643146045494438,per_station,ikebukuro,,,,,,,
mae,848.8348829836241,132.98010127579474,per_station,nihonbashi,,,,,,,
rmse,1178.7014055282873,145.55037864608434,per_station,nihonbashi,,,,,,,
mape,11.23488005644295,1.9418862553884195,per_station,nihonbashi,,,,,,,
r2,0.9968413056385659,0.0007511904629653595,per_station,nihonbashi,,,,,,,
mae,720.515945017633,89.19283756418051,per_station,shibuya,,,,,,,
rmse,948.8723891147959,116.36313834795655,per_station,shibuya,,,,,,,
mape,7.490547201668846,1.5889441500481083,per_station,shibuya,,,,,,,
r2,0.9945116058562002,0.0013988104448343875,per_station,shibuya,,,,,,,
mae,1105.3354584735425,99.90374197493117,per_station,shinjuku,,,,,,,
rmse,1461.029412837866,144.05642721126458,per_station,shinjuku,,,,,,,
mape,8.235592342712279,1.558043387005079,per_station,shinjuku,,,,,,,
r2,0.9946548971279618,0.0010106586556914618,per_station,shinjuku,,,,,,,
,,,hourly_shibuya,,19.0,1148.5852857136726,387.56540256029217,1439.201090933762,424.1933815047937,3.716733603627471,1.2316441537692502
,,,hourly_shibuya,,20.0,926.8813238692285,316.0073461960367,1068.5357839582578,342.64345292752836,3.642005657273637,1.2096140005272005
,,,hourly_shibuya,,21.0,704.0924953365326,312.5479044162806,835.2396181415248,359.97565638348397,3.6097461011450087,1.5544533069735333
,,,hourly_shibuya,,22.0,728.4298285603525,165.9672764764626,894.0261418717284,194.02130423474344,6.158962556039763,1.491830458619027
,,,hourly_shibuya,,23.0,844.7875227645045,331.4671794750936,952.1177953281916,311.57431757018577,12.490167660718601,4.944520974767701
,,,hourly_shinjuku,,0.0,946.9257251985371,287.9242657833375,1127.9681535972709,382.1310926193779,28.192720166453995,8.94879480317651
,,,hourly_shinjuku,,1.0,421.9469075130299,168.56954479404345,513.4201286862747,238.6512111906381,26.908162790392556,11.082888264322463
,,,hourly_shinjuku,,2.0,328.79423995828256,126.04624501497965,373.04716294714285,153.28669816976748,20.68552903766357,7.704288807902292
,,,hourly_shinjuku,,3.0,398.85068899374454,182.8606092848016,441.91499469086875,187.3469987440512,21.43198555281092,9.821339703512178
,,,hourly_shinjuku,,4.0,450.3154776850715,189.1929938761017,513.9152913722238,218.56200822025409,23.94449560606712,10.077484033480781
,,,hourly_shinjuku,,5.0,519.697570329532,309.6754823137623,603.5879679715265,342.17827123812884,17.826848785125826,10.56123670665665
,,,hourly_shinjuku,,6.0,662.1667271293702,360.0585326718711,884.8093064270868,470.97886950709557,11.99465802887391,6.532482207894028
,,,hourly_shinjuku,,7.0,1129.010810405016,733.6684344474088,1253.1420740421531,756.0207584707521,8.326913229035114,5.400760056030718
,,,hourly_shinjuku,,8.0,1620.0516165709514,781.176492159141,2040.0663844505355,872.0655143514826,5.766918209978825,2.7830341383037656
,,,hourly_shinjuku,,9.0,642.8780375576019,204.37275088220832,786.475726808777,282.91448590401905,1.7184005463250482,0.5457605636299763
,,,hourly_shinjuku,,10.0,1494.5244056415559,279.0281223630217,1669.5702652045431,243.051293113999,3.594729402003351,0.6681429583759155
,,,hourly_shinjuku,,11.0,1117.2620560216903,507.9621787299237,1235.0557353429788,459.7997446716629,2.517395512532798,1.140733469643632
,,,hourly_shinjuku,,12.0,2610.6683225202564,720.4877466885899,2662.8565415500702,715.0392232237159,5.256652321774846,1.4525438080744988
,,,hourly_shinjuku,,13.0,1504.950851998329,569.8918646591783,1580.9511550884838,553.5938778346622,2.9614723399632483,1.120721140519859
,,,hourly_shinjuku,,14.0,813.8347459125519,270.42793853627757,969.1536330880806,313.75071749905175,1.6335025195613706,0.5532480217783897
,,,hourly_shinjuku,,15.0,986.6263526535033,366.0047533272276,1134.1675683860062,423.4569765830409,1.9679313677752581,0.7349320975719468
,,,hourly_shinjuku,,16.0,1090.4796755218506,402.67588709187504,1272.7066427351713,434.4853493201213,2.14875181455799,0.7949229459225662
,,,hourly_shinjuku,,17.0,1168.436542339325,370.2691189198453,1346.8792098660967,434.3219890110732,2.178563473742264,0.6852476771101287
,,,hourly_shinjuku,,18.0,2381.894310288429,710.3424821643003,2642.009683305246,758.7018444800367,4.366362722103102,1.304939803068344
,,,hourly_shinjuku,,19.0,1092.0575615072253,448.3383919426694,1344.3780573109257,525.7863789304137,2.2271782762854593,0.886742150668493
,,,hourly_shinjuku,,20.0,1281.8246493482588,372.05470543807223,1432.4339841963422,422.78810706156327,3.4368994087712332,1.023176314049383
,,,hourly_shinjuku,,21.0,1241.6478799581537,510.34333432803544,1420.2599868665466,545.2133166848857,4.293025877985199,1.7320714241130117
,,,hourly_shinjuku,,22.0,1150.1915142905705,503.38374659553483,1287.9082094731198,512.5365194755763,6.501682327697337,2.8898839827766634
,,,hourly_shinjuku,,23.0,568.6901727654041,200.13594377656725,693.0122989607565,245.34045064597518,6.014541662521023,2.243032718520548
